ID,Material Name,Category,Density (g/cm3),Yield Strength (MPa),Tensile Strength (MPa),Hardness,Young's Modulus (GPa),Fatigue Strength (MPa),Elongation (%),Thermal Cond. (W/mÂ·K),Electrical Cond. (MS/m),Specific Heat (J/kgÂ·K),Melting Point (Â°C),Max Service Temp (Â°C),Corrosion Resistance,Wear Resistance,Impact Toughness,Weldability,Machinability,Formability,Cost,Weight,Recyclability,Magnetic,Common Applications,Manufacturing Methods,Advantages,Limitations,Keywords,Material Family,Source Reference,Confidence Level,CO2 Footprint (kg CO2/kg),Datasheet URL,Best: Lightweight,Best: High Temp,Best: Low Cost,Best: Corrosion Resist.,Best: 3D Printing
1,Aluminium Alloy 1100,Aluminium Alloy,2.71,35,90,23 HB,68,35,35,222,34.7,904,660,200,Excellent,Low,High,Excellent,Good,Excellent,Low,Light,High,No,Foil;chemical equipment;spun hollowware,Rolling;Extrusion;Deep drawing,Very high corrosion resistance;excellent formability,"Low strength, not heat-treatable",1100,Aluminium Alloy,To be verified,Typical,N/A,N/A,Yes,No,Yes,Yes,No
2,Aluminium Alloy 2024,Aluminium Alloy,2.78,325,470,120 HB,73,140,20,121,18,875,502,150,Fair (needs cladding),Medium,High,Poor,Fair,Fair,Medium,Light,High,No,Aircraft structures;fasteners,Extrusion;Forging;CNC,High strength-to-weight;good fatigue life,Poor weldability;lower corrosion resistance than 6xxx,2024,Aluminium Alloy,To be verified,Typical,N/A,N/A,Yes,No,No,No,No
3,Aluminium Alloy 3003,Aluminium Alloy,2.73,145,150,40 HB,69,60,10,155,23,893,647,150,Excellent,Low,High,Good,Good,Excellent,Low,Light,High,No,Cookware;chemical tanks;heat exchangers,Rolling;Deep drawing,Good corrosion resistance and formability,Moderate strength only,3003,Aluminium Alloy,To be verified,Typical,N/A,N/A,Yes,No,Yes,Yes,No
4,Aluminium Alloy 5052,Aluminium Alloy,2.68,193,228,60 HB,70,110,12,138,21,880,620,150,Excellent (incl. marine),Medium,High,Good,Fair,Excellent,Medium,Light,High,No,Marine components;fuel tanks;sheet metal parts,Rolling;Forming;Welding,Excellent marine corrosion resistance;good weldability,"Not heat-treatable, moderate strength",5052,Aluminium Alloy,To be verified,Typical,N/A,N/A,Yes,No,No,Yes,No
5,Aluminium Alloy 5083,Aluminium Alloy,2.66,228,317,82 HB,70.3,145,16,117,14,900,590,150,Excellent (marine),Medium,High,Good,Fair,Good,Medium,Light,High,No,Shipbuilding;pressure vessels;cryogenic tanks,Rolling;Welding,High strength for a non-heat-treatable alloy;excellent marine corrosion resistance,Lower machinability,5083,Aluminium Alloy,To be verified,Typical,N/A,N/A,Yes,No,No,Yes,No
6,Aluminium Alloy 6061,Aluminium Alloy,2.7,276,310,95 HB,68.9,96,15,167,25,896,600,150,Very Good,Medium,High,Good,Good,Good,Medium,Light,High,No,Structural frames;automotive/aerospace parts;bike frames,Extrusion;Forging;CNC;Welding,"Good balance of strength, weldability, corrosion resistance",Lower strength than 7xxx/2xxx,6061,Aluminium Alloy,MatWeb - verified,Verified (spot-checked),N/A,N/A,Yes,No,No,No,No
7,Aluminium Alloy 6063,Aluminium Alloy,2.7,214,241,73 HB,68.9,69,12,209,30,900,635,150,Excellent,Low,High,Good,Good,Excellent,Low,Light,High,No,Architectural extrusions;window/door frames,Extrusion,Excellent extrudability and surface finish;good corrosion resistance,Lower strength than 6061,6063,Aluminium Alloy,To be verified,Typical,N/A,N/A,Yes,No,Yes,Yes,No
8,Aluminium Alloy 6082,Aluminium Alloy,2.7,255,310,95 HB,70,100,10,170,24,900,600,150,Very Good,Medium,High,Good,Good,Good,Medium,Light,High,No,Structural components;trusses;bridges,Extrusion;Forging,Highest-strength common 6xxx alloy;good weldability,Lower corrosion resistance than 5xxx,6082,Aluminium Alloy,To be verified,Typical,N/A,N/A,Yes,No,No,No,No
9,Aluminium Alloy 7050,Aluminium Alloy,2.83,469,525,147 HB,71.7,160,13,157,20,860,635,120,Fair,Medium,Medium,Poor,Fair,Fair,High,Light,High,No,Aerospace structural/thick-section parts,Forging;Machining,"High strength, good stress-corrosion resistance vs 7075",Poor weldability;costly,7050,Aluminium Alloy,To be verified,Typical,N/A,N/A,Yes,No,No,No,No
10,Aluminium Alloy 7075,Aluminium Alloy,2.81,503,572,150 HB,71.7,159,11,130,19,960,635,120,Fair,Medium,Medium,Poor,Fair,Fair,High,Light,High,No,Aerospace fittings;high-stress structural parts,Forging;Extrusion;CNC,Very high strength-to-weight ratio,Poor weldability and corrosion resistance vs other Al alloys,7075,Aluminium Alloy,To be verified,Typical,N/A,N/A,Yes,No,No,No,No
11,Carbon Steel 1018,Carbon/Alloy Steel,7.87,370,440,126 HB,200,220,15,51.9,6.99,486,1470,400,Poor (needs coating),Medium,High,Excellent,Excellent,Good,Low,Heavy,High,Yes,Shafts;pins;low-stress machine parts,Machining;Forging;Welding,Easy to machine and weld;low cost,Poor corrosion resistance;low hardenability,1018,Carbon/Alloy Steel,To be verified,Typical,N/A,N/A,No,Yes,Yes,No,No
12,Carbon Steel 1020,Carbon/Alloy Steel,7.87,295,395,111 HB,200,180,25,51.9,6.99,486,1440,400,Poor (needs coating),Medium,High,Excellent,Good,Good,Low,Heavy,High,Yes,Structural shapes;case-hardened parts,Forging;Carburizing;Welding,Good weldability;carburizes well,Low strength as-rolled,1020,Carbon/Alloy Steel,To be verified,Typical,N/A,N/A,No,Yes,Yes,No,No
13,Carbon Steel 1045,Carbon/Alloy Steel,7.85,375,625,170 HB,200,300,16,49.8,6.5,486,1480,400,Poor (needs coating),Medium,Medium,Fair,Good,Fair,Low,Heavy,High,Yes,Shafts;gears;bolts,Forging;Machining;Induction hardening,Good strength/wear balance after Q&T,Poor weldability in hardened state,1045,Carbon/Alloy Steel,To be verified,Typical,N/A,N/A,No,Yes,Yes,No,No
14,Carbon Steel EN8,Carbon/Alloy Steel,7.85,355,700,217 HB,210,340,16,47.6,6.4,460,1440,400,Poor (needs coating),Medium,Medium,Fair,Good,Fair,Low,Heavy,High,Yes,General shafts;gears;bolts (UK equivalent of 1045),Forging;Machining;Q&T,"Widely available, moderate strength, machinable",Not for high-temp or corrosive service,en8,Carbon/Alloy Steel,To be verified,Typical,N/A,N/A,No,Yes,Yes,No,No
15,Carbon Steel EN19,Carbon/Alloy Steel,7.85,680,900,280 HB,210,460,13,42.6,5.3,460,1425,450,Poor (needs coating),Medium-High,Medium,Fair,Fair,Poor,Medium,Heavy,High,Yes,"Crankshafts;gears;high-stress shafts (Cr-Mo, UK equiv. of 4140)",Forging;Q&T;Machining,Good toughness and fatigue strength after heat treatment,Requires heat treatment for full properties,en19,Carbon/Alloy Steel,To be verified,Typical,N/A,N/A,No,Yes,No,No,No
16,Carbon Steel EN24,Carbon/Alloy Steel,7.85,930,1080,300 HB,210,540,12,44.5,5.2,475,1425,450,Poor (needs coating),High,Medium,Fair,Fair,Poor,Medium,Heavy,High,Yes,"Highly stressed gears/shafts/aircraft parts (Ni-Cr-Mo, UK equiv. of 4340)",Forging;Q&T;Machining,High strength and toughness combination,Higher cost;needs careful heat treatment,en24,Carbon/Alloy Steel,To be verified,Typical,N/A,N/A,No,Yes,No,No,No
17,Carbon Steel 4140,Carbon/Alloy Steel,7.85,655,1020,302 HB,205,510,15,42.6,5.8,477,1416,450,Poor (needs coating),High,Medium,Fair,Fair,Poor,Medium,Heavy,High,Yes,Axles;gears;tooling;oilfield components,Forging;Q&T;Machining,"Excellent strength/toughness combination, good hardenability",Poor as-supplied corrosion resistance,4140,Carbon/Alloy Steel,MatWeb / Elgin Fact Sheet - verified,Verified (spot-checked),N/A,N/A,No,Yes,No,No,No
18,Carbon Steel 4340,Carbon/Alloy Steel,7.85,862,1150,310 HB,200,590,12,44.5,5.5,475,1425,450,Poor (needs coating),High,High,Fair,Fair,Poor,Medium,Heavy,High,Yes,Aircraft landing gear;crankshafts;high-performance shafts,Forging;Q&T;Machining,"Excellent strength, toughness and fatigue resistance",Higher cost;needs careful heat treatment,4340,Carbon/Alloy Steel,To be verified,Typical,N/A,N/A,No,Yes,No,No,No
19,Carbon Steel 8620,Carbon/Alloy Steel,7.85,385,530,200 HB (core),205,250,20,46.7,6,460,1420,400,Poor (needs coating),High (case),High,Good,Good,Fair,Medium,Heavy,High,Yes,Case-hardened gears;bearings;camshafts,Carburizing;Forging;Machining,"Tough core with hard, wear-resistant case",Low core strength without carburizing,8620,Carbon/Alloy Steel,To be verified,Typical,N/A,N/A,No,Yes,No,No,No
